Model,Params,Class,Precision,Recall,F1-Score
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.3711340206185567,0.6,0.4585987261146497
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.5714285714285714,0.4,0.47058823529411764
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.3333333333333333,0.34,0.33663366336633666
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",3,0.2727272727272727,0.075,0.11764705882352941
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.3894736842105263,0.6166666666666667,0.4774193548387097
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.5862068965517241,0.5666666666666667,0.576271186440678
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.4222222222222222,0.38,0.4
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",3,0.45454545454545453,0.125,0.19607843137254902
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.375,0.6,0.46153846153846156
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.5882352941176471,0.6666666666666666,0.625
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.3157894736842105,0.24,0.2727272727272727
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",3,0.5,0.15,0.23076923076923078
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.40229885057471265,0.5833333333333334,0.47619047619047616
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.6363636363636364,0.7,0.6666666666666666
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.40425531914893614,0.38,0.3917525773195876
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",3,0.3076923076923077,0.1,0.1509433962264151
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0,0.45263157894736844,0.7166666666666667,0.5548387096774193
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.7,0.4666666666666667,0.56
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.5555555555555556,0.4,0.46511627906976744
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",3,0.3448275862068966,0.25,0.2898550724637681
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",4,1.0,1.0,1.0
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0,0.3870967741935484,0.8,0.5217391304347826
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",1,0.6363636363636364,0.4666666666666667,0.5384615384615384
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",2,0.35714285714285715,0.2,0.2564102564102564
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",3,0.16666666666666666,0.025,0.043478260869565216
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",4,1.0,1.0,1.0
