file_name,entropy,mean,variance,std_dev,skewness,kurtosis,energy,rms,histogram_0,histogram_1,histogram_2,histogram_3,histogram_4,histogram_5,histogram_6,histogram_7,histogram_8,histogram_9,histogram_10,histogram_11,histogram_12,histogram_13,histogram_14,histogram_15,histogram_16,histogram_17,histogram_18,histogram_19,histogram_20,histogram_21,histogram_22,histogram_23,histogram_24,histogram_25,histogram_26,histogram_27,histogram_28,histogram_29,histogram_30,histogram_31,histogram_32,histogram_33,histogram_34,histogram_35,histogram_36,histogram_37,histogram_38,histogram_39,histogram_40,histogram_41,histogram_42,histogram_43,histogram_44,histogram_45,histogram_46,histogram_47,histogram_48,histogram_49,histogram_50,histogram_51,histogram_52,histogram_53,histogram_54,histogram_55,histogram_56,histogram_57,histogram_58,histogram_59,histogram_60,histogram_61,histogram_62,histogram_63,histogram_64,histogram_65,histogram_66,histogram_67,histogram_68,histogram_69,histogram_70,histogram_71,histogram_72,histogram_73,histogram_74,histogram_75,histogram_76,histogram_77,histogram_78,histogram_79,histogram_80,histogram_81,histogram_82,histogram_83,histogram_84,histogram_85,histogram_86,histogram_87,histogram_88,histogram_89,histogram_90,histogram_91,histogram_92,histogram_93,histogram_94,histogram_95,histogram_96,histogram_97,histogram_98,histogram_99,histogram_100,histogram_101,histogram_102,histogram_103,histogram_104,histogram_105,histogram_106,histogram_107,histogram_108,histogram_109,histogram_110,histogram_111,histogram_112,histogram_113,histogram_114,histogram_115,histogram_116,histogram_117,histogram_118,histogram_119,histogram_120,histogram_121,histogram_122,histogram_123,histogram_124,histogram_125,histogram_126,histogram_127,histogram_128,histogram_129,histogram_130,histogram_131,histogram_132,histogram_133,histogram_134,histogram_135,histogram_136,histogram_137,histogram_138,histogram_139,histogram_140,histogram_141,histogram_142,histogram_143,histogram_144,histogram_145,histogram_146,histogram_147,histogram_148,histogram_149,histogram_150,histogram_151,histogram_152,histogram_153,histogram_154,histogram_155,histogram_156,histogram_157,histogram_158,histogram_159,histogram_160,histogram_161,histogram_162,histogram_163,histogram_164,histogram_165,histogram_166,histogram_167,histogram_168,histogram_169,histogram_170,histogram_171,histogram_172,histogram_173,histogram_174,histogram_175,histogram_176,histogram_177,histogram_178,histogram_179,histogram_180,histogram_181,histogram_182,histogram_183,histogram_184,histogram_185,histogram_186,histogram_187,histogram_188,histogram_189,histogram_190,histogram_191,histogram_192,histogram_193,histogram_194,histogram_195,histogram_196,histogram_197,histogram_198,histogram_199,histogram_200,histogram_201,histogram_202,histogram_203,histogram_204,histogram_205,histogram_206,histogram_207,histogram_208,histogram_209,histogram_210,histogram_211,histogram_212,histogram_213,histogram_214,histogram_215,histogram_216,histogram_217,histogram_218,histogram_219,histogram_220,histogram_221,histogram_222,histogram_223,histogram_224,histogram_225,histogram_226,histogram_227,histogram_228,histogram_229,histogram_230,histogram_231,histogram_232,histogram_233,histogram_234,histogram_235,histogram_236,histogram_237,histogram_238,histogram_239,histogram_240,histogram_241,histogram_242,histogram_243,histogram_244,histogram_245,histogram_246,histogram_247,histogram_248,histogram_249,histogram_250,histogram_251,histogram_252,histogram_253,histogram_254,histogram_255,algorithm
file0359.txt.enc,7.976843764367057,128.10133368200837,5314.339757635517,72.89951822636085,-0.013909042400941903,-1.1706258838608603,813877,10.315860204429011,26,26,21,26,24,36,28,30,26,30,33,23,41,27,44,29,28,21,29,33,33,22,27,28,33,31,30,31,27,26,31,27,28,31,21,25,29,32,26,31,27,22,28,20,27,25,30,31,30,36,25,24,20,29,37,25,32,31,27,20,28,28,25,35,29,28,25,37,37,37,28,37,25,40,25,31,26,27,31,44,37,33,24,22,36,37,33,31,36,33,33,19,29,17,34,38,36,32,26,29,27,35,34,33,40,31,26,31,41,23,18,28,37,30,34,32,29,35,35,26,39,23,26,32,32,36,24,31,26,24,29,39,39,31,32,29,35,33,27,33,32,20,38,39,28,25,26,30,26,26,32,30,34,22,39,42,28,27,35,33,24,27,32,24,30,34,23,25,26,22,31,22,34,36,35,28,27,29,26,38,34,35,39,29,26,35,32,44,38,27,30,33,32,28,29,35,45,28,28,36,24,34,33,33,25,27,31,24,40,30,32,32,23,29,26,35,24,30,31,29,26,35,28,20,19,22,32,32,30,28,26,28,33,24,30,36,32,40,28,27,42,22,27,28,26,27,26,27,31,26,34,32,24,26,32,23,DES
file0349.txt.enc,7.95515576244504,125.18085106382979,5527.607718424626,74.34788307964543,0.026588110084170696,-1.2004807895213456,390520,10.19125616043771,20,19,15,16,17,20,16,11,22,17,17,20,8,11,16,16,21,23,17,16,17,21,11,17,8,13,13,15,25,9,11,10,16,14,22,9,18,14,17,15,10,11,14,16,16,16,14,19,18,18,10,15,18,11,10,21,15,10,8,19,15,15,17,12,18,13,9,11,17,10,18,14,16,14,16,11,11,18,14,15,19,15,17,19,15,16,13,11,21,20,14,14,12,8,12,16,15,17,9,14,18,7,10,15,21,10,15,14,16,20,20,19,9,17,14,15,18,23,15,17,16,16,16,14,15,21,12,14,13,14,7,15,17,13,17,14,20,14,19,15,16,18,9,14,13,14,18,16,20,10,12,11,10,21,13,12,10,11,16,13,19,11,14,15,6,15,18,14,21,12,15,10,8,14,11,18,18,13,16,17,9,16,15,14,10,12,18,15,12,16,18,17,9,10,13,16,17,16,18,9,6,16,13,17,11,12,17,8,13,19,10,13,20,13,21,14,17,16,15,19,17,9,14,13,20,16,17,16,14,14,13,13,10,20,11,9,15,17,13,8,14,13,19,16,17,21,16,11,12,13,15,14,12,13,12,13,DES
file0474.txt.enc,7.952941943969531,127.24034552845528,5606.797416953781,74.87855111414603,-0.0017558933712472414,-1.229536260899021,411234,10.221554819440597,15,13,18,15,16,12,26,17,17,10,8,17,20,20,17,15,18,22,20,21,15,16,12,23,17,14,11,16,12,18,20,21,8,19,15,8,11,14,17,14,14,16,14,16,20,12,13,21,23,16,19,20,18,13,22,21,7,23,15,11,13,14,20,10,5,16,15,14,14,19,14,14,10,15,9,15,16,19,9,10,16,17,19,18,17,15,16,16,13,14,8,18,18,19,14,23,9,10,12,12,13,17,22,16,13,17,10,18,17,13,12,7,12,13,11,19,25,12,15,7,16,18,12,11,23,15,14,18,20,18,11,13,15,15,13,26,16,17,14,15,19,15,15,16,18,8,13,15,16,14,14,12,14,10,14,15,14,19,15,11,20,14,12,10,11,15,17,26,13,11,17,16,15,14,19,17,15,17,12,16,14,10,15,16,15,13,11,14,16,10,19,14,18,19,14,19,11,16,16,16,14,20,21,19,18,19,15,16,23,23,13,12,16,19,11,15,10,15,20,15,19,11,14,19,20,10,9,19,12,11,12,12,15,18,13,13,22,16,20,17,14,19,18,16,11,16,20,9,9,12,13,23,24,15,15,20,DES
file0464.txt.enc,7.853887815271266,127.69779411764706,5366.0932304282005,73.25362264371776,0.03263937333657355,-1.169654756189668,145371,10.338783350881794,5,5,8,1,1,5,7,3,3,6,10,9,4,8,7,4,2,6,3,5,3,4,2,9,3,5,5,7,5,5,7,3,4,5,3,5,2,5,6,4,7,2,5,7,4,7,5,5,4,5,2,11,8,9,5,7,5,3,10,2,3,4,6,3,7,4,8,6,2,4,5,10,7,3,6,4,8,5,4,7,7,7,7,6,9,4,5,10,6,10,6,6,5,6,6,5,6,4,4,6,7,6,5,6,7,2,12,2,7,8,3,8,8,5,4,2,1,8,7,5,2,9,4,7,4,3,4,6,2,4,3,5,6,1,12,0,7,7,6,1,7,6,7,2,4,10,10,5,4,4,6,8,3,3,3,7,7,5,9,8,1,8,7,5,1,3,5,6,4,5,8,7,5,9,5,6,6,3,3,7,4,3,5,2,4,3,10,4,7,6,3,5,9,3,5,3,4,9,2,8,7,4,5,10,8,5,3,5,7,4,3,4,1,4,9,5,6,4,4,0,8,4,6,7,3,6,4,5,4,5,6,2,3,7,5,9,7,2,4,4,7,6,8,7,6,5,4,6,9,5,5,3,4,5,8,8,DES
file0416.txt.enc,7.975565666893813,128.61407882241215,5412.677394379351,73.57090045921248,-0.01520755619054646,-1.205074470388273,892243,10.291588088099848,27,28,27,34,37,31,23,33,31,27,33,32,37,31,25,28,27,32,41,28,27,39,31,27,36,31,36,26,22,27,53,34,27,39,43,27,36,31,23,33,30,29,49,32,31,36,45,29,35,37,28,29,30,34,34,30,36,37,22,27,32,24,27,48,48,31,35,33,28,24,40,36,32,32,34,30,40,34,34,28,27,31,34,24,36,29,42,49,35,35,35,34,26,42,29,18,32,25,33,36,24,36,41,43,35,37,28,34,32,27,31,35,30,30,30,43,36,29,33,28,37,35,28,33,30,23,33,34,27,36,27,42,33,35,38,27,24,34,32,45,22,47,28,36,36,36,22,22,40,31,37,34,31,39,36,29,32,42,33,37,24,25,27,30,35,36,29,42,24,43,29,32,28,36,47,37,38,27,25,28,28,29,42,38,45,35,31,26,28,31,43,30,42,30,38,36,32,32,28,34,32,34,41,27,29,33,41,27,37,26,37,32,36,38,32,23,41,27,27,43,37,47,44,25,49,42,32,38,27,32,32,34,34,41,30,40,33,27,35,36,24,26,27,31,33,33,37,29,34,29,24,40,33,32,33,34,DES
file0406.txt.enc,7.8125376969144815,127.6842105263158,5658.712307083499,75.22441297267463,0.025924959714186804,-1.237511214161255,107632,10.057728110107277,3,6,4,4,1,8,5,2,6,3,4,9,1,1,4,2,5,6,4,6,5,4,2,7,1,5,9,2,2,4,8,3,4,0,3,5,4,8,5,3,5,3,5,2,2,5,4,3,6,6,2,4,6,8,5,3,3,7,4,5,8,4,3,6,7,7,5,3,8,6,3,4,2,2,5,3,2,7,4,2,4,1,2,4,4,7,2,3,3,4,7,5,3,5,3,3,5,3,2,2,1,4,3,7,5,5,2,2,7,2,3,2,3,3,4,5,8,8,5,3,3,4,7,8,1,3,6,6,3,4,4,6,7,5,5,6,3,4,6,5,1,2,5,2,3,3,6,5,1,1,1,3,3,2,4,5,7,7,1,4,5,4,3,0,6,1,5,2,2,5,4,5,7,1,4,7,6,0,5,1,6,5,4,1,7,7,3,4,9,4,3,1,4,5,2,2,2,3,3,3,5,3,7,2,6,2,8,2,8,4,5,5,2,5,7,5,2,6,1,4,5,3,3,3,5,3,2,5,2,5,4,8,6,2,5,6,4,6,5,1,4,4,5,3,2,7,5,11,7,3,5,4,4,5,8,1,DES
file0382.txt.enc,7.972347233717317,127.45668859649123,5393.322685525835,73.43924485944716,0.009670030302316626,-1.1782181375187313,577429,10.27250239988074,18,18,18,21,21,20,12,25,25,22,17,17,25,13,27,22,27,23,16,18,15,24,25,23,24,28,25,22,22,25,27,17,26,19,18,20,23,16,18,27,21,19,19,24,19,24,15,26,28,22,18,21,19,17,25,20,20,19,25,19,18,19,21,23,25,20,29,12,19,24,21,20,22,24,19,28,31,16,22,20,27,18,15,21,22,15,28,20,22,24,23,15,23,19,19,25,25,19,17,20,17,20,23,28,19,23,17,27,20,21,21,21,17,23,24,23,20,20,29,25,22,19,22,22,23,25,20,21,21,18,15,20,27,17,29,26,19,21,30,24,25,18,20,26,20,25,17,23,25,20,28,22,30,24,23,25,23,24,21,26,31,22,17,20,20,25,26,20,14,27,19,16,13,26,27,23,17,18,18,24,25,17,19,31,24,17,17,23,24,12,26,22,20,23,22,24,23,23,21,17,16,19,16,16,11,15,26,19,16,15,32,21,12,23,18,20,22,17,18,23,17,16,21,15,14,23,34,19,24,17,28,25,23,25,29,22,28,21,19,22,25,16,18,23,20,26,25,19,21,22,16,18,25,23,25,17,DES
file0392.txt.enc,7.959975490539022,126.9584862385321,5439.081533488343,73.75012904048604,0.020525540146474276,-1.1951808504211727,459477,10.265701779592224,18,16,21,20,9,20,22,14,20,7,17,18,16,19,14,17,15,15,16,16,20,23,12,20,24,17,17,19,14,19,12,20,14,15,20,13,11,18,18,19,14,14,18,16,20,17,18,18,12,11,15,23,17,12,14,17,16,19,19,18,22,25,17,13,22,15,16,15,19,15,19,21,18,26,20,23,16,17,22,18,16,21,21,17,17,27,17,16,16,20,13,22,12,19,11,17,10,19,19,24,17,24,24,11,12,15,16,10,14,19,17,16,13,15,17,10,16,13,16,20,15,28,20,11,21,22,21,15,15,22,22,11,18,19,11,15,29,18,27,15,12,14,8,10,20,18,18,16,19,12,21,24,15,25,15,18,14,15,22,17,11,14,17,6,14,11,23,20,22,15,17,18,19,20,20,15,17,13,17,18,15,15,11,14,22,19,23,11,16,12,18,16,15,10,21,19,21,16,13,14,15,22,14,14,21,17,21,17,18,13,17,15,17,18,24,12,15,20,14,18,16,12,16,17,21,18,12,13,19,15,24,24,15,17,14,17,23,17,9,21,12,26,17,15,12,20,21,19,16,17,12,20,15,14,16,19,DES
file0366.txt.enc,7.970738398789104,127.57763888888888,5361.077583314042,73.21937983426275,0.003973949486979126,-1.1792064234258375,757331,10.255967097797804,27,28,19,21,30,21,21,22,17,30,27,23,35,21,37,28,18,23,33,34,34,35,38,29,24,33,23,38,32,36,25,24,32,27,41,23,25,25,21,31,25,26,25,28,23,39,27,25,29,18,25,31,31,28,28,40,36,35,28,33,31,27,20,25,30,29,27,19,20,22,30,37,26,30,23,18,23,34,37,28,29,28,28,28,25,36,27,19,23,27,35,28,28,19,29,24,25,22,34,44,25,27,28,29,23,36,21,24,36,28,30,37,19,28,27,25,28,33,37,30,21,35,35,20,38,23,23,25,27,41,21,28,35,30,29,30,27,32,29,28,25,27,26,42,27,25,36,30,39,19,33,23,33,34,27,25,33,28,28,34,20,29,30,26,30,27,28,39,36,36,24,24,37,28,26,27,33,29,28,31,32,25,18,14,44,26,34,30,22,30,29,26,37,24,36,29,22,31,25,19,24,29,23,33,28,41,24,31,41,23,28,17,24,26,22,24,19,28,14,26,25,30,28,26,32,24,31,30,26,26,35,29,27,31,23,25,27,23,25,30,31,33,27,35,23,20,29,27,30,22,26,29,29,27,25,41,DES
file0376.txt.enc,7.982189260806908,127.6377,5434.08863871,73.71627119374664,0.011602525025737264,-1.2017822681856862,1050935,10.2515120835904,35,38,41,29,32,29,41,33,35,32,39,45,38,45,49,36,43,40,33,27,38,38,36,36,40,39,43,38,41,41,34,30,49,45,42,35,40,43,43,42,47,34,30,40,34,40,40,44,41,38,44,37,45,31,53,36,40,43,41,51,40,34,44,43,49,42,46,36,30,37,43,41,42,44,35,40,29,35,50,49,48,35,29,34,28,38,37,34,30,36,46,46,42,41,38,32,42,39,33,34,37,38,42,43,53,44,32,25,39,33,34,43,33,45,44,42,46,63,43,29,50,31,52,25,40,39,31,33,42,40,39,49,57,47,29,38,37,48,47,35,36,35,35,40,41,40,36,35,32,34,44,38,53,39,37,51,39,42,34,35,42,30,32,37,33,42,37,35,32,40,45,28,30,41,29,40,38,28,42,44,41,40,38,41,36,43,39,38,44,33,42,41,45,44,33,33,44,46,36,33,34,26,38,50,44,41,39,37,33,52,47,49,34,39,30,42,33,34,35,43,33,35,49,36,37,46,34,43,45,34,38,42,43,46,36,45,27,48,37,43,31,43,34,35,42,42,45,32,44,37,34,39,41,41,40,42,DES
