Model,Params,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1-Score Mean,F1-Score Std,Log Loss Mean,AUC Mean
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.48600000000000004,0.03120897306865448,0.48864882005900745,0.036936964179651054,0.48600000000000004,0.03120897306865448,0.4653941435639948,0.035693318261662416,1.0962041590487115,0.7862158406862745
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.492,0.025416530054277665,0.49613483978454687,0.04645528513266595,0.492,0.025416530054277665,0.4664484273383794,0.03805309213541231,1.095996022152843,0.794922018907563
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.5,0.03178049716414142,0.5049558186230999,0.04909589272390611,0.5,0.03178049716414142,0.4804766685376503,0.03890619151157459,1.2784850854350467,0.7865251264005602
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.4960000000000001,0.036796738985948214,0.49746414765585384,0.047196955644095456,0.4960000000000001,0.036796738985948214,0.4758317773740403,0.040984578952812226,1.092351092944962,0.7891205154061625
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.476,0.010198039027185562,0.49655014693645827,0.01884209434112231,0.476,0.010198039027185562,0.46077416221585016,0.013037506266454012,1.1094449110914915,0.7859336397058824
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.48,0.015811388300841896,0.47989999641024755,0.02877000887268219,0.48,0.015811388300841896,0.459130943290177,0.02061476790039616,1.1608063289327575,0.776384912464986
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.495,0.016431676725154998,0.5043268139662265,0.028944499820793942,0.495,0.016431676725154998,0.4778833430792001,0.017620065446585655,1.0919927614224165,0.7906655133053221
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.485,0.01923538406167134,0.5031800636256591,0.027535687872744328,0.485,0.01923538406167134,0.4687934986076779,0.01839996466972135,1.1085060761824077,0.7855778021708683
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",0.488,0.0261916017074176,0.4810031090037416,0.044811539796485375,0.488,0.0261916017074176,0.4654031344035577,0.03570221472271269,1.1920253029518837,0.7797000420168068
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.492,0.03749666651850536,0.49703972758578274,0.03978318776448541,0.492,0.03749666651850536,0.47688368742117443,0.03870394119522572,1.0924665783404441,0.7885874268207284
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.47800000000000004,0.012884098726725116,0.4905403853710613,0.019313688450717202,0.47800000000000004,0.012884098726725116,0.46469447570469313,0.012236416300557796,1.1199033780717427,0.7799596036414567
RandomForest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.488,0.02400000000000002,0.48660084614673205,0.039451535614994364,0.488,0.02400000000000002,0.4688846641515904,0.0317548743809937,1.1554436863277293,0.7815167934173669
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.485,0.011832159566199244,0.48402055131867555,0.020665478572014173,0.485,0.011832159566199244,0.45566128593706734,0.010392532403487423,1.0980383740238215,0.7901964243697479
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.484,0.012806248474865688,0.5417452691334791,0.04822478196757302,0.484,0.012806248474865688,0.4526182894191139,0.009089742104247275,1.1166843643860105,0.785275412464986
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.479,0.02130727575266251,0.4794700316501507,0.03312266016947831,0.479,0.02130727575266251,0.45544475083374286,0.02873005521720316,1.160259786495159,0.7803375980392155
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.49399999999999994,0.01067707825203132,0.508488975814035,0.015327476074331344,0.49399999999999994,0.01067707825203132,0.46724736908096504,0.015492240366865171,1.1005025287220735,0.7893381729691877
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.477,0.03370459909270544,0.5150051442975419,0.05192392927004507,0.477,0.03370459909270544,0.45208282075364475,0.04478508261512068,1.1306435397436116,0.77328899929972
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.484,0.03006659275674583,0.48877742871078594,0.04220277392610024,0.484,0.03006659275674583,0.4578254544433419,0.03769123888315862,1.0881981998512609,0.7789596988795517
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.47400000000000003,0.013928388277184109,0.49734181902402863,0.01980365491223167,0.47400000000000003,0.013928388277184109,0.4499285280047668,0.017367349387056245,1.1039368722624112,0.7848276393557423
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.4680000000000001,0.016613247725836142,0.4931901246170297,0.022213817424564377,0.4680000000000001,0.016613247725836142,0.44072087721370623,0.02227694530278891,1.1200773234592585,0.7830142521008403
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}",0.483,0.013266499161421596,0.4870254001576978,0.01985126710316831,0.483,0.013266499161421596,0.46114818969985844,0.02098896067490346,1.086381780773251,0.7821234299719888
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.499,0.012409673645990868,0.5190040322146122,0.023541264701434368,0.499,0.012409673645990868,0.4734248587946285,0.009814836414514362,1.0976111537429076,0.7899598151260505
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.458,0.024207436873820404,0.4931247032710694,0.029754840313972058,0.458,0.024207436873820404,0.4310353228996388,0.028313234472038363,1.1326732694351616,0.7735847114845937
RandomForest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}",0.491,0.017720045146669368,0.5001487281867035,0.04120820598707309,0.491,0.017720045146669368,0.4651663770237329,0.028386757891045524,1.088161560648717,0.783110474089636
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.483,0.03414674215792775,0.4815450260205451,0.04343709489913528,0.483,0.03414674215792775,0.46516399922024243,0.036076448034584846,1.0979021270315665,0.7847943813025211
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.4880000000000001,0.03472751070837068,0.4957117645437443,0.03749134479347402,0.4880000000000001,0.03472751070837068,0.47060461222022293,0.04063211628390502,1.0999610409092113,0.7932107678571428
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.5,0.03065941943351181,0.5067959534871063,0.04472425585679068,0.5,0.03065941943351181,0.48210324420748146,0.03594006922843031,1.2783094531977781,0.7857463900560224
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.49400000000000005,0.031048349392520058,0.4928379909055902,0.03883562905876841,0.49400000000000005,0.031048349392520058,0.47316304379470414,0.03467215620379091,1.0940871304850424,0.7886048795518207
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.472,0.012884098726725112,0.5022397563839334,0.0386991345680323,0.472,0.012884098726725112,0.4566550183799639,0.01528727375271757,1.11078520032316,0.7842499292717087
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}",0.47800000000000004,0.015033296378372907,0.4783780884775166,0.030462181065281427,0.47800000000000004,0.015033296378372907,0.4575584297043376,0.021142120269405842,1.1607136894306667,0.7766644653361344
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.497,0.011224972160321834,0.5004732434666304,0.017713563244460006,0.497,0.011224972160321834,0.4786832384150738,0.012613966604954983,1.0898533989326502,0.7913903245798318
RandomForest,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.4720000000000001,0.021587033144922902,0.4874070748244752,0.02721542573987201,0.4720000000000001,0.021587033144922902,0.45281385561686927,0.017310421720046473,1.107424166434517,0.7870998757002801
